id,created_at,text
1241004850759991296,Fri Mar 20 14:13:07 +0000 2020,"Ich habs so satt. Auf d Gehweg hat man oft keine Chance, Abstand zu halten weil jeder einfach hirnlos drauf los geht. Das betr. d Jungen, aber leider auch die Älteren. Rechts gehen u Abstand halten. Ist das denn so schwer?  #Muenchen #Covid_19"
1241004861677883392,Fri Mar 20 14:13:10 +0000 2020,"@berlin__bike @schaeferZDF Hier der exakte Wortlaut zu den #Ausgangsbeschraenkungen in #Bayern wegen #Covid_19.

https://t.co/hTnUGdz5xG"
1241004874705383424,Fri Mar 20 14:13:13 +0000 2020,"🚨 Das Deutsche Rote Kreuz West verschenkt #Desinfektionsmittel für eine Blutspende 🚑💉

#DRK #Blutspenden #CoronaCrisis #Covid_19"
1241004877322563584,Fri Mar 20 14:13:14 +0000 2020,"#Covid_19 Wenn das Sanitätshaus vor Ort geschlossen ist oder ein bestimmtes #Hilfsmittel nicht vorrätig hat, kann ein anderer Anbieter die Versorgung übernehmen. Mit unserer Vertragspartnersuche helfen wir, den passenden Lieferanten zu finden🔎
https://t.co/I9QCwkAD8k"
1241004877628813312,Fri Mar 20 14:13:14 +0000 2020,"Und tschüß ..

#Berlin #Coronavirus #Ausgangssperre #Covid_19 #COVID2019de https://t.co/6TYW6X13nv"
1241004905646698496,Fri Mar 20 14:13:20 +0000 2020,Na dann....#Covid_19 https://t.co/D55mIve7Rj
1241004917835345920,Fri Mar 20 14:13:23 +0000 2020,"@Hartes_Geld Wenn nichts hilft, dann kann man ja an sie appellieren, dass sie an ihre Omas und Opas denken sollen. Ups! Die sind ja NOCH! in Afghanistan, Marokko, Mi ... äh ... Nigeria ... 🤣#Ausgangssperre #Covid_19"
1241004926291054592,Fri Mar 20 14:13:25 +0000 2020,Damit es sich besser verteilt: #Covid_19
1241004943135387649,Fri Mar 20 14:13:29 +0000 2020,"In der Kriese machen 2 Personen eine gute Figur. @Markus_Soeder &amp; @jensspahn. Wer sollte #Kanzler werden?

#wirbleibenzuhause #COVIDー19 #Covid_19 #coronavirus #COVID19 #Corona #CoronaOutbreak #deutschland #politik #spahn #soeder #Merkel #CoronaVirusUpdates #COVID2019"
1241004950165094402,Fri Mar 20 14:13:31 +0000 2020,"Es ist ganz einfach. Solche Artikel kosten Menschenleben! 
https://t.co/9oe82khHcF
@renzfabian01 @tagesanzeiger 
#FlattenTheCurve #Covid_19 #COVID19 #coronavirus #CoronaInfoCH #AusgangsSperreJetzt https://t.co/47h6L8J00C"
1241004957144436736,Fri Mar 20 14:13:33 +0000 2020,Jetzt die freie Zeit nutzen für #Weiterbildung mit den digitalen Lernangeboten der #Volkshochschulen!
1241004958612324352,Fri Mar 20 14:13:33 +0000 2020,"Liebe Leute, unterstützt nach Möglichkeit eure lokalen Buchläden. Nicht auf den bösen gelben Giganten ausweichen! #Buchplatz #Sachsenhausen #Frankfurt #Covid_19 https://t.co/aegRSxpLt4"
1241005022013423617,Fri Mar 20 14:13:48 +0000 2020,Eine sehr ungünstige Wortwahl... #Ausgangssperre #Covid_19 #wirbleibenzuhause https://t.co/YgIMs8OYaG
1241005041479229440,Fri Mar 20 14:13:53 +0000 2020,"Schlimm: „Jeder Vierte hält Corona-Maßnahmen für Panikmache“, so eine repräsentative Studie von @Bitkom 
#Covid_19 #coronadeutschland #StayAtHome #AbstandHalten"
1241005063176413189,Fri Mar 20 14:13:58 +0000 2020,"Wenn nichts hilft, dann kann man ja an sie appellieren, dass sie an ihre Omas und Opas denken sollen. Ups! Die sind ja NOCH! in Afghanistan, Marokko, Mi ... äh ... Nigeria ... #Ausgangssperre #Covid_19"
1241005077516746754,Fri Mar 20 14:14:01 +0000 2020,"Also diese Grafik macht schon Angst. Sind zwar die Zahlen für England, aber ich glaube nicht, dass es in Deutschland anders sein wird. Da fragt man sich, ob die #Ausgangssperre überhaupt was bringt. #Covid_19 #Corona #StayAtHome https://t.co/dq2OUisY1h"
1241005091118866432,Fri Mar 20 14:14:05 +0000 2020,"Nun hat auch Sachsen ab Sonntag eine angemessene #Ausgangssperre, ähnlich wie in Bayern. 👍

Wird zwar anders genannt, aber ist prinzipiell das Gleiche mit dem Ziel die Zusammenkünfte der Unbelehrbaren zu unterbinden. 🙏

https://t.co/yFeWEzUsbq

#COVID19de #Covid_19 #COVID19"
1241005175034306560,Fri Mar 20 14:14:25 +0000 2020,"#Sparkassen: Risikovorsorge wird durch #Coronakrise deutlich ansteigen
@dsgv #Bilanz #Betriebsergebnis #Covid_19  

https://t.co/kXUGNI3iTS"
1241005202251173888,Fri Mar 20 14:14:31 +0000 2020,"Super Initiative von @ROCKETHOME 👍
Wir sind natürlich mit dabei! 💙
#GemeinsamGegenCorona 

Alle Infos über das digitale Schwarze Brett gibt es hier▶️https://t.co/1B2QI55IzL
#Covid_19 #COVID19de https://t.co/9toWpqb1oG"
1241005220248858624,Fri Mar 20 14:14:35 +0000 2020,"Was bei den bevorstehenden Ausgangsbeschränkungen auch unbedingt unterbunden werden muss:

Das Familien zu dritt, viert oder fünft zum Einkaufen gehen! Dazu besteht keine Notwendigkeit, es reicht völlig aus wenn ein Elternteil geht! 

#Ausgangssperre #FlattenTheCurve #Covid_19"
1241005225886076928,Fri Mar 20 14:14:37 +0000 2020,Das gleiche kann man leider auch auf viele deutsche Städte anwenden! #StayAtHome #AusgangsSperreJetzt #SocialDistancing
1241005260824555520,Fri Mar 20 14:14:45 +0000 2020,"@LieblingXhain @gloreiche36 @Schoenlein4 @kaddinsky @BMieterverein @TspLeute @BuendnisZRV @Dirk_Behrendt In die gleiche Richtung:
https://t.co/lTq7na4gUf"
1241005262892302337,Fri Mar 20 14:14:46 +0000 2020,"Auch mein Abgeordnetenbüro in Zschopau steht telefonisch für Anfragen bezüglich der Unterstützung im täglichen Leben bereit: 03725 / 2189917 Wir sind für Euch, unsere Bürger, in Krisenzeiten da! #CoronaVirusDE #coronavirusdeutschland #Covid_19 #BleibtZuhause"
1241005278272933888,Fri Mar 20 14:14:49 +0000 2020,"DAMIT WIR NICHT AB MONTAG ALLE UNTER ZWANGS ARREST STEHEN.
#Covid_19 #BleibtZuhause #StayAtHome"
1241005310594211840,Fri Mar 20 14:14:57 +0000 2020,"#Paris schließt Seine-Ufer und Champ de Mars. #Nizza führt Sperrstunde ab 20h ein. WE-Ausflüge aufs Land sind untersagt, Polizei kontrolliert Bahnhöfe. #Ausgangssperre in #Frankreich. #Covid_19 #COVID19france"
1241005323042914308,Fri Mar 20 14:15:00 +0000 2020,Mein nächstes Polo kommt von Trigema #Covid_19
1241959341885919232,Mon Mar 23 05:25:56 +0000 2020,#CoronaInfoCH Offener Brief des Regierungsrates an die #Nidwaldner Bevölkerung. Zusammen schaffen wir das!  https://t.co/e0aTtgKG2J
1241317895260512257,Sat Mar 21 10:57:03 +0000 2020,"Warum wir jetzt WIRKLICH zu Hause bleiben müssen: https://t.co/Z5TDbNjAcA 
#COVID19ch"
1241317920547966982,Sat Mar 21 10:57:09 +0000 2020,Universale #Solidarität: «Unser Händewaschen wird für die Geflüchteten in den Lagern Europas nicht ausreichen» – Wider der #Feindeslogik des #Ausnahmezustands #coronavirus #Covid-19 @CoronavirusSch1 #CoronaInfoCH #COVID19ch @feinschwarz_net @sfh_schweiz https://t.co/gk6G0EhVWo
1241015996040851456,Fri Mar 20 14:57:25 +0000 2020,Ein #Franke darf nicht #Bundeskanzlerin werden. #meineMeinung #Coronakrise #AusgangsSperreJetzt #starkeSchulter
1241016003305373704,Fri Mar 20 14:57:26 +0000 2020,"""Es gibt keine Alternative mehr zur #Ausgangssperre"" - Prof. Dr. med. Stefan Kluge, Klinikdirektor #UKE #Hamburg.
#ARDextra #COVID_19 #Coronakrise #coronavirus"
1241016017897299970,Fri Mar 20 14:57:30 +0000 2020,"Erinnert ihr euch? Meine Nachbarn aus der Hölle? Die feiern da oben allen Ernstes Kindergeburtstag !!!! Mit Kinderschar und fröhlichen Eltern! Die Hütte ist voll! 

#AusgangsSperreJetzt #Coronakrise #Ausgangssperre #Covid_19 #Corona #SindPolenimmun? 🤦🏼‍♀️🤦🏼‍♀️🤦🏼‍♀️ https://t.co/1sZjJJWg0Q"
1241016034284445696,Fri Mar 20 14:57:34 +0000 2020,"""Weißt du was das bese was bei so einer Krise ist? Ins Fittnesstudio gehen. Damit man zu Not sein Brot verteidigen kann.""
#Covid_19 #Coronakrise"
1241016077058027520,Fri Mar 20 14:57:44 +0000 2020,"Ein Trost - #Angst hält nicht ewig, nicht einmal bei der #Coronakrise. Mark Dowding ist überzeugt, dass es nicht mehr um Risikominderung gehen kann, sondern die nächste Aktion der Kauf ist. Bleibt die Frage, wann dies der Fall ist: https://t.co/n9i2zYylAr https://t.co/qkxkaKMber"
1241016093558407168,Fri Mar 20 14:57:48 +0000 2020,"Das kann dann ja mal weg.
#aldisued #Ausgangssperre #Coronakrise https://t.co/mFaJSQoTdK"
1241016107915522049,Fri Mar 20 14:57:51 +0000 2020,"Wenn jetzt noch jemand sagt, ihm sei das Ausmaß von #COVID19de nicht klar und es gäbe nicht genug Infos, dann ist das einfach nur ein verantwortungsloses A****
Informiert euch und #StayAtHome"
1241016112210378752,Fri Mar 20 14:57:52 +0000 2020,@robert_fietzke Hab das Gefühl manche Politiker*innen nutzen die #Coronakrise aus um ihre Autoritären Machtfantasien auszunutzen...
1241016139146301440,Fri Mar 20 14:57:59 +0000 2020,"Fände es ja großartig, wenn die großen deutschen Zeitungen es ähnlich wie die Radiosender mit #YoullNeverWalkAlone machen würden und mal einen Tag alle „Bleibt zuhause!“ als Überschrift ihrer Print/Online-Ausgabe hätten.
@derspiegel @BILD @DIEZEIT @faznet @SZ #Coronakrise"
1241016157001433088,Fri Mar 20 14:58:03 +0000 2020,Hab das Gefühl manche Politiker*innen nutzen die #Coronakrise aus um ihre Autoritären Machtfantasien auszunutzen...
1241016171610157062,Fri Mar 20 14:58:06 +0000 2020,"Blümel bezeichnet Budget als Momentaufnahme in Zeiten der Krise

https://t.co/aCp7XhI8oG

#coronakrise #coronavirus #coronavirusaustria #coronavirusoesterreich #covid19 #covid_19 #budget"
1241016175674429441,Fri Mar 20 14:58:07 +0000 2020,"Unsere Online-Gottesdienste für Sonntag, 22.03.2020
#Covid_19 #Coronakrise #alternativ #katholisch #altkatholisch #Gottesdienst #Österreich  #altkatholischekircheösterreich https://t.co/tqlFlIQ8nV"
